Year,Award,Category,Result
2016,Game Critics Awards 2016,Special Commendation for Graphics,Won
2016,Golden Joystick Awards,Most Wanted Game,Nominated
2016,The Game Awards 2016,Most Anticipated Game,Nominated
2017,Golden Joystick Awards,Most Wanted Game,Nominated
2017,The Game Awards 2017,Most Anticipated Game,Nominated
2018,The Independent Game Developers' Association Awards,Best Action and Adventure Game,Won
2018,The Independent Game Developers' Association Awards,Best Audio Design,Nominated
2018,9th Hollywood Music in Media Awards,Original Score - Video Game,Nominated
2018,2018 Golden Joystick Awards,Best Storytelling,Won
2018,2018 Golden Joystick Awards,Best Video Design,Won
2018,2018 Golden Joystick Awards,Best Audio Design,Won
2018,2018 Golden Joystick Awards,PlayStation Game of the Year,Won
2018,2018 Golden Joystick Awards,Ultimate Game of the Year,Nominated
2018,The Game Awards 2018,Game of the Year,Won
2018,The Game Awards 2018,Best Game Direction,Won
2018,The Game Awards 2018,Best Narrative,Nominated
2018,The Game Awards 2018,Best Art Direction,Nominated
2018,The Game Awards 2018,Best Score/Music,Nominated
2018,The Game Awards 2018,Best Audio Design,Nominated
2018,The Game Awards 2018,Best Performance,Nominated
2018,The Game Awards 2018,Best Action/Adventure Game,Won
2018,Gamers' Choice Awards,Fan Favorite Game,Nominated
2018,Gamers' Choice Awards,Fan Favorite Action Game,Nominated
2018,Gamers' Choice Awards,Fan Favorite Single Player Gaming Experience,Nominated
2018,Gamers' Choice Awards,Fan Favorite Character of the Year,Nominated
2018,Gamers' Choice Awards,Fan Favorite Male Voice Actor,Won
2018,Gamers' Choice Awards,Fan Favorite Male Voice Actor,Nominated
2018,Gamers' Choice Awards,Fan Favorite Female Voice Actor,Nominated
2019,46th Annie Awards,Character Animation in a Video Game,Nominated
2019,17th Visual Effects Society Awards,Outstanding Visual Effects in a Real-Time Project,Nominated
2019,22nd Annual D.I.C.E. Awards,Game of the Year,Won
2019,22nd Annual D.I.C.E. Awards,Adventure Game of the Year,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Animation,Nominated
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Art Direction,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Character,Nominated
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Character,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Game Design,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Game Direction,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Original Music Composition,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Sound Design,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Achievement in Story,Won
2019,22nd Annual D.I.C.E. Awards,Outstanding Technical Achievement,Nominated
2019,Writers Guild of America Awards 2018,Outstanding Achievement in Videogame Writing,Won
2019,SXSW Gaming Awards,Video Game of the Year,Won
2019,SXSW Gaming Awards,Excellence in SFX,Nominated
2019,SXSW Gaming Awards,Excellence in Animation,Nominated
2019,SXSW Gaming Awards,Excellence in Gameplay,Nominated
2019,SXSW Gaming Awards,Excellence in Technical Achievement,Nominated
2019,SXSW Gaming Awards,Excellence in Narrative,Nominated
2019,SXSW Gaming Awards,Excellence in Visual Achievement,Won
2019,SXSW Gaming Awards,Excellence in Design,Won
2019,19th Game Developers Choice Awards,Game of the Year,Won
2019,19th Game Developers Choice Awards,Best Audio,Nominated
2019,19th Game Developers Choice Awards,Best Design,Nominated
2019,19th Game Developers Choice Awards,Best Narrative,Nominated
2019,19th Game Developers Choice Awards,Best Technology,Nominated
2019,19th Game Developers Choice Awards,Best Visual Art,Nominated
2019,15th British Academy Games Awards,Best Game,Won
2019,15th British Academy Games Awards,Artistic Achievement,Nominated
2019,15th British Academy Games Awards,Audio Achievement,Won
2019,15th British Academy Games Awards,Game Design,Nominated
2019,15th British Academy Games Awards,Music,Won
2019,15th British Academy Games Awards,Narrative,Won
2019,15th British Academy Games Awards,Performer,Nominated
2019,15th British Academy Games Awards,Performer,Nominated
2019,15th British Academy Games Awards,Performer,Won
2019,15th British Academy Games Awards,Performer,Nominated
2019,2019 Webby Awards,Best Music/Sound Design,Won
2019,ASCAP Composers' Choice Awards,2018 Video Game Score of the Year,Nominated
2019,2019 Nebula Awards,Game Writing,Nominated
2022,The Steam Awards,Game of the Year,Nominated
2022,The Steam Awards,Outstanding Story-Rich Game,Won
