Week,FedEx Air Player of the Week (Quarterbacks),FedEx Ground Player of the Week (Running Backs),Pepsi Next Rookie of the Week,Castrol Edge Clutch Performer of the Week
1,Philip Rivers,Carlos Hyde,Marcus Mariota,Tony Romo
2,Tom Brady,Matt Jones,Jameis Winston,Derek Carr
3,Aaron Rodgers,Devonta Freeman,Kwon Alexander,Julio Jones
4,Philip Rivers,Chris Ivory,Todd Gurley,Kam Chancellor
5,Eli Manning,Doug Martin,Jameis Winston,Tyrod Taylor
6,Philip Rivers,Chris Ivory,Stefon Diggs,Damarious Randall
7,Ryan Tannehill,Lamar Miller,Amari Cooper,Tom Brady
8,Drew Brees,Todd Gurley,Kwon Alexander,Drew Brees
9,Marcus Mariota,DeAngelo Williams,Amari Cooper,Antonio Brown
10,Ben Roethlisberger,Adrian Peterson,Mario Edwards Jr.,Stephen Gostkowski
11,Jameis Winston,Doug Martin,Jameis Winston,Aaron Rodgers
12,Russell Wilson,Adrian Peterson,Amari Cooper,Derek Carr
13,Ben Roethlisberger,DeAngelo Williams,Thomas Rawls,Jameis Winston
14,Russell Wilson,Eddie Lacy,Tyler Lockett,Khalil Mack
15,Ben Roethlisberger,David Johnson,Amari Cooper,Antonio Brown
16,Drew Brees,Tim Hightower,Preston Smith,Ryan Fitzpatrick
17,Ryan Tannehill,Rashad Jennings,Tyler Lockett,Peyton Manning
