Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Darius Boyd,14,3,0,0,12,0.0,27
Adam Clydsdale,21,2,0,0,8,0.0,21
Adam Cuthbertson,18,0,0,0,0,0.0,29
Michael Dobson,6,0,0,0,0,0.0,28
David Fa'alogo,18,0,0,0,0,0.0,34
Dane Gagai,24,7,1,0,30,0.0,23
Kurt Gidley,23,2,39,0,86,23.0,32
Chris Houston,18,1,0,0,4,0.0,29
Joseph Leilua,22,11,0,0,44,0.0,23
Jake Mamo,7,2,0,0,8,0.0,20
Josh Mantellato,1,0,3,0,6,0.0,27
Willie Mason,21,1,0,0,4,0.0,34
Chanel Mata'utia,7,5,0,0,20,0.0,22
Sione Mata'utia,7,7,0,0,28,0.0,18
Alex McKinnon,3,0,0,0,0,0.0,22
James McManus,16,4,0,0,16,0.0,28
Matt Minto,2,0,0,0,0,0.0,24
Jarrod Mullen,16,3,0,1,13,1.0,27
Clint Newton,2,0,0,0,0,0.0,33
Tyler Randell,1,0,0,0,0,0.0,22
Tyrone Roberts,24,9,20,0,76,0.0,23
Robbie Rochow,24,3,0,0,12,0.0,24
Beau Scott,20,5,0,0,20,0.0,30
Korbin Sims,20,2,0,0,8,0.0,22
Jeremy Smith,18,2,0,0,8,0.0,34
Kade Snowden,17,0,0,0,0,0.0,28
Timana Tahu,2,2,0,0,8,0.0,34
Joseph Tapine,7,0,0,0,0,0.0,20
Zane Tetevano,3,0,0,0,0,0.0,24
Akuila Uate,15,12,0,0,48,0.0,27
Paterika Vaivai,1,0,0,0,0,0.0,22
Travis Waddell,10,1,0,0,4,0.0,25
