Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Mitchell Barnett,23,2,0,0,8,0.0,24
Jamie Buhrer,20,0,0,0,0,20.0,29
Jack Cogger,12,1,0,0,4,0.0,21
Cory Denniss,11,1,0,0,4,0.0,21
Herman Ese'ese,23,2,0,0,8,0.0,24
JJ Felise,2,0,0,0,0,0.0,22
Lachlan Fitzgibbon,21,9,0,0,36,0.0,24
Slade Griffin,16,2,0,0,8,0.0,27
Aidan Guerra,24,5,0,0,20,9.0,30
Chris Heighington,21,1,0,0,4,0.0,36
Shaun Kenny-Dowall,24,6,0,0,24,0.0,30
Josh King,13,0,0,0,0,0.0,23
Brock Lamb,8,0,7,0,14,0.0,21
Danny Levi,17,0,0,0,0,0.0,23
Jacob Lillyman,15,0,0,0,0,0.0,34
Sione Mata'utia,23,8,0,0,32,0.0,22
Nick Meaney,5,2,1,0,10,0.0,21
Tautau Moga,4,2,0,0,8,0.0,25
Mitchell Pearce,15,2,0,2,10,15.0,29
Kalyn Ponga,20,6,27,0,78,0.0,20
Nathan Ross,15,2,0,0,8,0.0,30
Daniel Saifiti,21,3,0,0,12,0.0,22
Jacob Saifiti,8,0,0,0,0,0.0,22
Pasami Saulo,3,0,0,0,0,0.0,20
Ken Sio,20,12,25,0,98,0.0,28
Tom Starling,1,0,0,0,0,0.0,20
Sam Stone,2,0,0,0,0,0.0,21
Connor Watson,15,7,0,0,28,0.0,22
Luke Yates,6,0,0,0,0,0.0,23
