Player,GP,GS,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOV,PPG
Kevin Ferrer,14,14.0,31.5,71,177,40.1,32,92,34.8,77,99,77.8,8.2,1.6,0.9,0.4,2.2,17.9
Ed Daquioag,14,14.0,34.5,89,211,42.2,7,41,17.1,45,66,68.2,5.6,2.2,1.1,0.8,3.4,16.4
Karim Abdul,14,14.0,29.4,59,136,43.4,2,5,40.0,57,86,66.3,8.4,1.2,0.5,1.2,2.4,12.6
Louie Vigil,14,8.0,24.1,49,115,42.6,11,42,26.2,21,35,60.0,4.8,2.5,0.4,0.4,2.1,9.3
Marvin Lee,14,2.0,19.8,25,62,40.3,14,37,37.8,23,29,79.3,2.9,0.6,1.1,0.0,1.6,6.2
Mario Bonleon,13,6.0,16.6,23,58,39.7,8,23,34.8,4,7,57.1,2.4,0.8,0.0,0.2,1.8,4.5
Kent Lao,14,2.0,17.1,15,51,29.4,11,34,32.4,6,9,66.7,2.9,0.4,0.1,0.1,0.6,3.4
Jon Sheriff,14,10.0,17.2,11,44,25.0,0,0,0.0,10,25,40.0,2.4,2.1,0.6,0.0,0.7,2.3
Kyle Suarez,6,0.0,14.3,3,5,66.0,3,3,100.0,0,0,0.0,0.3,0.2,0.0,0.0,0.5,1.5
Renzo Subido,12,0.0,5.9,2,13,15.4,1,9,11.1,3,4,75.0,0.4,0.8,0.1,0.0,0.5,0.7
Jeepy Faundo,10,0.0,3.1,1,1,100.0,0,0,0.0,3,4,75.0,0.6,0.0,0.1,0.2,0.0,0.5
Zach Huang,6,0.0,2.3,0,1,0.0,0,0,0.0,0,0,0.0,0.3,0.0,0.0,0.0,0.2,0.0
Justin Arana,2,0.0,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janrey Garrido,6,0.0,0.8,0,2,0.0,0,1,0.0,0,0,0.0,0.2,0.0,0.0,0.0,0.3,0.0
Enric Caunan,4,0.0,0.6,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ama Abdurasad,4,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,14,,40.0,348,877,39.7,89,287,31.0,249,364,68.4,40.6,11.9,4.9,3.2,16.4,73.9
Opponents,14,,40.0,345,908,38.0,78,299,26.1,198,307,64.5,44.1,13.1,3.4,3.1,18.7,69.0
