Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Mitchell Barnett,13,1,0,0,4,0.0,26
Bradman Best,11,8,0,0,32,0.0,19
Jayden Brailey,2,0,0,0,0,0.0,24
Phoenix Crossland,6,1,0,0,4,0.0,20
Herman Ese'ese,21,1,0,0,4,0.0,26
Lachlan Fitzgibbon,17,1,0,0,4,0.0,26
Tim Glasby,7,0,0,0,0,0.0,31
Blake Green,3,0,0,0,0,0.0,34
Aidan Guerra,21,2,1,0,10,0.0,32
Tex Hoy,9,1,2,0,8,0.0,21
Hymel Hunt,20,8,0,0,32,0.0,27
Brodie Jones,7,0,0,0,0,0.0,22
Josh King,7,1,0,0,4,0.0,25
David Klemmer,21,0,0,0,0,0.0,27
Edrick Lee,11,6,0,0,24,0.0,28
Mason Lino,5,0,15,0,30,0.0,26
Kurt Mann,20,6,0,0,24,0.0,27
Sione Mata'utia,12,1,0,0,4,0.0,24
Andrew McCullough,8,2,0,0,8,0.0,30
Tautau Moga,4,0,0,0,0,0.0,27
Mitchell Pearce,21,2,0,1,9,21.0,31
Kalyn Ponga,19,10,46,0,132,0.0,22
Chris Randall,7,0,0,0,0,0.0,25
Daniel Saifiti,14,3,0,0,12,0.0,24
Jacob Saifiti,21,3,0,0,12,0.0,24
Pasami Saulo,7,0,0,0,0,0.0,22
Gehamat Shibasaki,11,5,0,0,20,0.0,22
Starford To'a,7,4,0,0,16,0.0,20
Enari Tuala,20,11,0,0,44,0.0,22
Connor Watson,5,1,0,0,4,0.0,24
