Year,Association,Category,Nominee(s),Result
2020,11th Dorian Awards,Campy TV Show of the Year,American Horror Story: 1984,Nominated
2020,Make-Up Artists and Hair Stylists Guild Awards 2020,Television and New Media Series: Best Period and/or Character Make-Up,"Carleigh Herbert, Michael Mekash, Abby Clawson",Nominated
2020,Make-Up Artists and Hair Stylists Guild Awards 2020,Television and New Media Series: Best Special Make-Up Effects,"Michael Mekash, Vincent Van Dyke, Carleigh Herbert",Nominated
2020,Make-Up Artists and Hair Stylists Guild Awards 2020,Television and New Media Series: Best Period and/or Character Hair Styling,"Michelle Ceglia, Analyn Cruz, Taschi Lynell",Nominated
2020,72nd Primetime Creative Arts Emmy Awards,Outstanding Makeup,"Carleigh Herbert, Abby Clawson, Melissa Mo Meinhart, Lawrence Mercado",Nominated
2020,72nd Primetime Creative Arts Emmy Awards,Outstanding Prosthetic Makeup,"Michael Mekash, Vincent Van Dyke",Nominated
2020,72nd Primetime Creative Arts Emmy Awards,"Outstanding Sound Editing for a Limited Series, Movie, or Special","Gary Megregian, Timothy A. Cleveland, Naaman Haynes, Patrick Hogan, Sam Munoz, David Klotz, Noel Vought",Nominated
2020,72nd Primetime Creative Arts Emmy Awards,Outstanding Sound Mixing for a Limited Series or Movie,"Alex Altman, Doug Andham, Joe Earle, Judah Getz",Nominated
2021,ATAA Awards,French Dubbing Adaptation of a series,"Nicolas Mourguye, Xavier Varaillon, Libra Films",Won
2021,Clio Awards,Television/Streaming: Special Shoot Spot/Promo: Horror,American Horror Story: 1984,Bronze
