Player,GP,GS,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOV,PPG
Renzo Subido,13,2.0,29.3,62,196,31.6,42,126,33.3,38,47,80.9,2.5,1.9,0.4,0.0,3.2,15.7
Marvin Lee,14,13.0,29.0,59,181,32.6,44,141,31.2,39,41,95.1,3.4,2.1,1.4,0.1,2.2,14.4
CJ Cansino,13,13.0,27.3,51,117,43.6,14,38,36.8,50,63,79.4,10.3,3.6,0.5,0.2,2.9,12.8
Steve Akomo,4,1.0,25.4,15,28,53.6,0,0,0.0,9,16,56.3,9.5,0.3,0.0,1.8,2.3,9.8
Zach Huang,14,12.0,22.7,40,100,40.0,1,9,11.1,35,53,66.0,6.0,1.2,0.3,0.0,1.1,8.3
Germy Mahinay,13,0.0,17.2,23,56,41.1,0,0,0.0,12,22,54.6,5.7,0.2,0.2,0.5,1.9,4.5
Joshua Marcos,14,2.0,12.8,18,43,41.2,4,14,28.6,9,18,50.0,2.9,1.1,0.1,0.1,1.6,3.5
Ken Zamora,14,12.0,17.2,14,78,18.0,11,66,16.7,7,10,70.0,1.6,1.5,0.3,0.0,0.6,3.3
Enric Caunan,13,13.0,12.9,16,42,38.1,0,0,0.0,6,8,75.0,2.4,0.4,0.0,0.9,0.4,2.9
Ira Bataller,12,1.0,13.4,9,35,25.7,2,13,15.4,9,16,56.2,3.1,0.6,0.0,0.0,1.3,2.4
Toby Agustin,10,0.0,9.0,9,24,37.5,1,5,20.0,5,8,62.5,2.4,0.5,0.1,0.5,0.8,2.4
Mario Bonleon,8,0.0,5.9,5,17,29.4,1,10,10.0,4,6,66.7,0.8,0.5,0.0,0.1,0.5,1.9
Nat Cosejo,11,1.0,9.7,8,28,28.6,1,3,33.3,3,6,50.0,3.5,0.3,0.0,0.1,0.5,1.8
Dave Ando,2,0.0,6.2,1,3,33.3,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
JM Lagumen,3,0.0,4.2,1,5,20.0,0,1,0.0,0,0,0.0,1.0,0.0,0.3,0.0,0.3,0.7
Total,14,,40.0,328,954,34.4,121,426,28.4,226,313,72.2,44.8,12.9,3.4,2.6,17.1,72.1
Opponents,14,,40.0,440,834,52.8,86,313,27.5,182,257,70.8,44.5,16.4,5.9,4.8,13.0,82.0
