Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Mitchell Barnett,21,7,3,0,34,0.0,25
Bradman Best,3,1,0,0,4,0.0,18
Jamie Buhrer,9,0,0,0,0,1.0,30
Phoenix Crossland,1,0,0,0,0,0.0,19
Herman Ese'ese,18,2,0,0,8,0.0,25
Lachlan Fitzgibbon,21,5,0,0,20,0.0,25
James Gavet,18,1,0,0,4,0.0,30
Tim Glasby,21,2,0,0,8,0.0,30
Aidan Guerra,12,2,0,0,8,0.0,31
Hymel Hunt,24,9,0,0,36,0.0,26
Shaun Kenny-Dowall,23,8,0,0,32,1.0,31
Josh King,13,0,0,0,0,0.0,24
David Klemmer,21,0,0,0,0,0.0,26
Edrick Lee,14,6,0,0,24,0.0,27
Danny Levi,17,0,0,0,0,0.0,24
Mason Lino,12,2,33,0,74,0.0,25
Kurt Mann,19,1,0,0,4,0.0,26
Sione Mata'utia,22,5,0,0,20,0.0,23
Tautau Moga,6,2,0,0,8,0.0,26
Mitchell Pearce,23,8,0,1,33,23.0,30
Kalyn Ponga,20,11,48,0,140,0.0,21
Jesse Ramien,17,2,0,0,8,0.0,22
Daniel Saifiti,21,0,0,0,0,0.0,23
Jacob Saifiti,7,0,0,0,0,0.0,23
Pasami Saulo,3,0,0,0,0,0.0,21
Starford To'a,1,1,0,0,4,0.0,19
Connor Watson,21,4,0,0,16,0.0,23
