Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Mitchell Barnett,24,4,13,0,42,0.0,27
Bradman Best,17,3,0,0,12,0.0,20
Jayden Brailey,23,3,0,0,12,20.0,25
Jake Clifford,13,2,33,0,74,0.0,23
Mat Croker,2,0,0,0,0,0.0,22
Phoenix Crossland,9,1,1,0,6,0.0,21
Lachlan Fitzgibbon,10,3,0,0,12,0.0,27
Tyson Frizell,19,3,0,0,12,0.0,30
Blake Green,6,0,0,0,0,0.0,35
Tex Hoy,7,1,6,0,16,0.0,22
Hymel Hunt,17,4,0,0,16,0.0,28
Jack Johns,6,1,0,0,4,0.0,24
Brodie Jones,22,3,0,0,12,0.0,23
Josh King,18,1,0,0,4,0.0,26
David Klemmer,21,0,0,0,0,0.0,28
Kurt Mann,22,3,0,1,13,0.0,28
Jirah Momoisea,3,0,0,0,0,0.0,23
Brayden Musgrove,7,1,0,0,4,0.0,23
Mitchell Pearce,12,3,0,1,13,0.0,32
Kalyn Ponga,15,8,10,0,52,5.0,23
Chris Randall,5,2,0,0,8,0.0,26
Daniel Saifiti,20,3,0,0,12,17.0,25
Jacob Saifiti,23,3,0,0,12,0.0,25
Simi Sasagi,2,0,0,0,0,0.0,20
Pasami Saulo,3,0,0,0,0,0.0,23
Gehamat Shibasaki,3,1,0,0,4,0.0,23
Sauaso Sue,23,2,0,0,8,0.0,29
Starford To'a,12,6,0,0,24,0.0,21
Enari Tuala,25,13,0,0,52,0.0,23
Connor Watson,25,2,0,0,8,0.0,25
Dom Young,6,4,0,0,16,0.0,20
