Year,Title,Role
1992,Fly by Night,Akusa
1997,An Alan Smithee Film: Burn Hollywood Burn,Sista Tu Lumumba
1999,A Luv Tale,Alia
2000,Train Ride,Katrina Daniels
2002,Civil Brand,Sgt. Cervantes
2003,Playas Ball,Laquinta
2006,Da Jammies,Syrin
2013,The Dempsey Sisters,Taylor Powell
2017,Patti Cake$,DJ French Tips
2017,Girls Trip,Herself
2019,Loved to Death,Tiffany
2019,Praying & Believing,Head Correction Officer
2020,Bad Hair,Coral
2020,Sylvie's Love,Mikki
2020,Lost Girls: Angie's Story,Pastor Kim
2021,Hip Hop Family Christmas,Tina Nixon
2022,"I, Challenger",Diane
2022,Bury Me,Diane
2022,Hip Hop Family Christmas Wedding,Tina Nixon
2023,Favorite Son,Sister Mae
2024,One Night Stay,Jasmine
