LGA,Ward,Polling Unit Name
Auyo,Auyo,"Auyo Special Pri. Sch. Auyo Kuka; Auyo Vetnary - Vetnary; Auyo Bayi; Kofar Amadu Auyo Kira; Auyo Gabas Pri. Sch. Auyo Gabas; Auyo Dispensary, Auyo Dispensary; Jamaar Aikali Maibaure, Mai Baure; Kaziyeta K. Fada, Kaziyeta; Tsurutawa, Tsurutawa; Hadiyo Pri. Sch Hadiyo; Makerayi Village; Gidan Dallah Pri. Sch., Gidan Dallah; Zabaro Pri. Sch. Zabaro"
Auyo,Auyakayi,"Auyakayi Pri. Sch, Auyakayi; Kudigin Pri. Sch. Kudigin; Akubushin Pri. Sch., Akubishin; Rigar Maaji K. Fada, Rigar Na'aji; Shawara Pri. Sch, Shawara; Chiromawa Pri. Sch., Chiromawa; Karsha Dunkun K. Fada, Karsha Dunkun; Matakuwa K. Fada, Ayatakuwa; Marakawa Fada, Marakawa Village"
Auyo,Ayama,"Ayama Pri. Sch. Ayama I; Ayama Pri. Sch. Ayama II; Anauya K. Fada Anuaya; Kigin Pri. Sch., Kigin; Uza Pri. Sch. Uza; Safa Pri. Sch. Safa Babba; Safa Pry Sch, Safa Karfi; Shamarma Pri. Sch. Shamarma; Gidan Bakware K. Fada Gidan Bakware; Asuduwa K. Fada Asuduwa; Magarya K. Fada Magarya; Dogara Village, Dogara"
Auyo,Ayan,"Ayan Pri. Sch Ayan; Gastifi K. Fada, Gastifi Village; Dawaya K. Fada Dawaya/Mainari; Atura K. Fada Atura Jamaar Ayan; Kataudi Pri. Sch. Kataudi 'A'; Ayamaskuka K. Fada Ayamaskuka; Maje Pri. Sch. Maje Hausawa/Ful; Atakajiya K. Fada Atakajiya; Jamaar Gabas K. Fada Jamaar Gabas; Kataudi Pry Sch, Kataudi 'B'"
Auyo,Gamafoi,"Gamafoi Pri. Sch Gamafoi Kwazimo; Agamo K. Fada Agamo; Jura K. Fada Jura; Biritan K. Fada Biritan; Gandun Kadir K. Fada Gandun Kadir; Kataije K. Fada Kataije; Gidan Maitandu K. Fada; Gasanya Pri. Sch. Gasanya; Kwazimo, Kwazimo Village"
Auyo,Gamsarka,Gamsarka Pri. Sch Gamsarka Tagir; Gamsarka Pri. Sch. Gamsarka Zumoni; Hakudau Pri. Sch. Hakudau; Kalgwai Pri. Sch. Kalgwai A.; Kafardau Pri. Sch. Kafardau; Gurajawa Pri. Sch. Gurajawa; Adaha Pri. Sch. Adaha; Mado Pri. Sch. Mado I; Mado Pri. Sch. Mado II; Arako K. Fada Arako; Marina K. Fada Marina; Kalgwai B. Kalgwai Pry Sch
Auyo,Gatafa,"Gatafa Pri. Sch. Gatfa Yalwa 'A'; Gatafa Pri. Sch. Gataf Madaki; Gatafa Dispensary Gatafa; Tsaka K. Fada Tsaka; Argina Pri. Sch. Argina Majiya; Gatafa Yelwa 'B', Gatafa Village"
Auyo,Kafur,"Kafur Pri. Sch Kafur; Mawa K. Fada, Mawa Village; Arawa K. Fada Arawa; Gatakashe K. Fada Gatakashe Wailare; Jiba Gandu K. Fada Jiba Gandu; Maskangayu K. Fada Maskangayu; Sabon Gidan Ayanduwa K. Fada, Sabon Gidan Ayanduwa; Ganuwar Kuka Pri. Sch., Ganuwar Kuka; Gudito Pri. Sch. Gudito; Yamidi K. Fada Yamidi"
Auyo,Tsidir,"Tsidir Pri. Sch. Tsidir; Fuge K. Fada Fuge; Muran Pri. Sch. Muran/Arbuna; Furawa Pry Sch, Furawa Hausa/Fulani; Furawa Pri. Sch. Furawa; Kure K. Fada Kure/Tudunwada; Afiyau K. Fada Afiuyau; Aguza K. Fada Aguza; Bangeli Pri. Sch. Bangel"
Auyo,Unik,"Unik Pri. Sch. Unik Babba; Unik Dispensary Unik Gana; Shingen Gabas K. Fada, Shingen Gabas; Shingen Yamma K. Fada Shingen Yamma; Galdimari K. Fada Galdimri; Katan Gar Tsimiya K. Fada K. Tsamiya; Shinyo Pri. Sch. Shinyo; Guyu Pri. Sch. Guyu; Afarmo K. Fada Afarmo; Dogon Marke K. Fada Dogon Marke; Kaban Pri. Sch. Kaban; Bakari K. Fada, Baka Ri; Tigima K. Fada Tigima; Sateri Kalauri K. Fada Sateri Kalauri; Kaigamari Pri. Sch. Kaigamari; Jama'ar Guyu Village, Jama'ar Guyu; Zugo K. Fada Zugo"
Babura,Babura,Arewa Pri. Sch. Babura Arewa I; Arewa Pri. Sch. Babura Arewa II; Gabas Pri. Sch. Babura Gabas I; Gabas Pri. Sch. Babura Gabas II; Kudu Islamiyya Pri. Sch. Babura Kudu I; Kudu Islamiyya Pri. Sch. Babura Kudu II; Kudu Islamiyya Pri. Sch. Babaura Kudu III; Central Pri. Sch. Babura Yamma I; Central Pri. Sch. Babura Yamma II; Central Pri. Sch. Babura Yamma III; Baskwar Jiji / Baskwar Jiji; Kayahurumi/Kaya Hurumi; Mahuta Pri. Sch/Mahuta Raha; Jarmai/Jarmai; Malu Unguwargawo Pri. Sch./Ung. Gawo; Kudu Islamiya P. S / Babura Kudu I; Kudu Islamiya P. S / Babura Kudu II; Central P. S /Babura Yamma
