Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Chris Adams,5,0,0,0,0,0.0,30
Mitchell Barnett,9,2,0,0,8,0.0,22
David Bhana,7,1,0,0,4,0.0,23
Jack Cogger,6,0,0,0,0,0.0,19
Cory Denniss,7,3,0,0,12,0.0,19
Brendan Elliot,11,6,0,0,24,0.0,22
Jaelen Feeney,5,0,0,0,0,0.0,22
Lachlan Fitzgibbon,5,1,0,0,4,0.0,22
Dane Gagai,22,3,0,0,12,0.0,25
Trent Hodkinson,23,1,47,1,99,23.0,28
Josh King,12,0,0,0,0,0.0,21
Brock Lamb,3,0,0,0,0,0.0,19
Danny Levi,18,0,0,0,0,0.0,21
Jake Mamo,13,5,0,0,20,0.0,22
Sam Mataora,20,2,0,0,8,0.0,26
Chanel Mata'utia,1,0,0,0,0,0.0,24
Pat Mata'utia,14,2,0,0,8,0.0,23
Peter Mata'utia,11,3,0,0,12,0.0,26
Sione Mata'utia,16,4,0,0,16,0.0,20
Jarrod Mullen,14,0,0,0,0,0.0,29
Mickey Paea,15,0,0,0,0,0.0,30
Pauli Pauli,15,1,0,0,4,0.0,22
Will Pearsall,3,0,0,0,0,0.0,21
Dylan Phythian,2,1,0,0,4,0.0,21
Tyler Randell,18,1,0,0,4,0.0,24
Robbie Rochow,8,0,0,0,0,0.0,26
Nathan Ross,19,9,0,0,36,0.0,28
Daniel Saifiti,20,1,0,0,4,0.0,20
Jacob Saifiti,18,2,0,0,8,0.0,20
Korbin Sims,22,3,0,0,12,0.0,24
Tariq Sims,8,0,0,0,0,8.0,26
Jeremy Smith,21,0,1,0,2,21.0,36
Kade Snowden,1,0,0,0,0,0.0,30
Jack Stockwell,6,0,0,0,0,0.0,24
Akuila Uate,10,1,0,0,4,0.0,29
