Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Bradman Best,25,13,0,0,52,0.0,22
Jayden Brailey,5,0,0,0,0,5.0,27
Fa'amanu Brown,2,1,0,0,4,0.0,29
Tom Cant,1,0,0,0,0,0.0,21
Adam Clune,4,1,0,1,5,0.0,28
Mat Croker,24,3,0,0,12,0.0,24
Phoenix Crossland,25,6,0,0,24,0.0,23
Adam Elliott,18,0,0,0,0,0.0,29
Lachlan Fitzgibbon,21,5,0,0,20,0.0,29
Tyson Frizell,22,4,0,0,16,17.0,32
Dane Gagai,22,4,1,0,18,1.0,32
Tyson Gamble,24,6,1,1,27,0.0,27
Jackson Hastings,22,4,16,0,48,1.0,27
Jack Hetherington,26,1,0,0,4,0.0,27
Hymel Hunt,4,1,0,0,4,0.0,30
Jack Johns,5,1,0,0,4,0.0,26
Brodie Jones,11,0,0,0,0,0.0,24
Riley Jones,1,0,0,0,0,0.0,21
Oryn Keeley,1,0,0,0,0,0.0,20
Dylan Lucas,7,2,0,0,8,0.0,23
Kurt Mann,18,4,0,0,16,0.0,30
Greg Marzhew,22,22,0,0,88,0.0,26
Lachie Miller,12,2,26,0,60,0.0,29
Kalyn Ponga,20,9,45,0,126,20.0,25
Ryan Rivett,1,0,0,0,0,0.0,21
Daniel Saifiti,22,2,0,0,8,0.0,27
Jacob Saifiti,21,1,0,0,4,1.0,27
Leo Thompson,25,1,0,0,4,0.0,23
Enari Tuala,6,3,0,0,12,0.0,25
Dom Young,25,25,0,0,100,0.0,22
