Year,Author,Title,Result
2002,John Creed,The Sirius Crossing,Winner
2002,Tom Bradby,The Master of Rain,Finalist
2002,Lee Child,Without Fail,Finalist
2002,Robert Crais,Hostage,Finalist
2002,Leif Davidsen,Lime's Photograph,Finalist
2002,CC Humphreys,The French Executioner,Finalist
2002,Stephen Leather,Tango One,Finalist
2003,Dan Fesperman,The Small Boat of Great Sorrows,Winner
2003,Lee Child,Persuader,Finalist
2003,R. J. Ellory,Candlemoth,Finalist
2003,Lucretia Grindle,The Nightspinners,Finalist
2003,Robert Littell,The Company,Finalist
2003,Henry Porter,Empire State,Finalist
2003,Gerald Seymour,Traitor's Kiss,Finalist
2004,Jeffery Deaver,Garden of Beasts,Winner
2004,Dan Fesperman,The Warlord's Son,Finalist
2004,Joseph Finder,Paranoia,Finalist
2004,Mo Hayder,Tokyo,Finalist
2004,Stephen Leather,Hard Landing,Finalist
2004,Adrian McKinty,Dead I Well May Be,Finalist
2004,Daniel Silva,The Confessor,Finalist
2005,Henry Porter,Brandenburg,Winner
2005,G. M. Ford,A Blind Eye,Finalist
2005,Simon Kernick,A Good Day to Die,Finalist
2005,Adrian Matthews,The Apothecary's House,Finalist
2005,Kate Mosse,Labyrinth,Finalist
2005,Joel Ross,Double Cross Blind,Finalist
2005,Daniel Silva,A Death in Vienna,Finalist
2006,Nick Stone,Mr Clarinet,Winner
2006,Michael Connelly,The Lincoln Lawyer,Finalist
2006,Jo-Ann Goodwin,Sweet Gum,Finalist
2006,Mo Hayder,Pig Island,Finalist
2006,Daniel Silva,The English Assassin,Finalist
2006,Martyn Waites,The Mercy Seat,Finalist
2006,David Wolstencroft,Contact Zero,Finalist
2007,Gillian Flynn,Sharp Objects,Winner
2007,Alex Berenson,The Faithful Spy,Finalist
2007,Harlan Coben,The Woods,Finalist
2007,R. J. Ellory,City of Lies,Finalist
2007,Michael Marshall,The Intruders,Finalist
2007,Michael Robotham,The Night Ferry,Finalist
2007,Karin Slaughter,Triptych,Finalist
2008,Tom Rob Smith,Child 44,Winner
2008,Mo Hayder,Ritual,Finalist
2008,Gregg Hurwitz,I See You,Finalist
2008,Michael Robotham,Shatter,Finalist
2008,David Stone,The Echelon Vendetta,Finalist
2009,John Hart,The Last Child,Winner
2009,Michael Connelly,The Brass Verdict,Finalist
2009,Gillian Flynn,Dark Places,Finalist
2009,Charlie Newton,Calumet City,Finalist
2009,Daniel Silva,Moscow Rules,Finalist
2009,Olen Steinhauer,The Tourist,Finalist
2009,Andrew Williams,The Interrogator,Finalist
