Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points
1,7,22,Joey Logano,Team Penske,Ford,303,47
2,10,42,Kyle Larson,Chip Ganassi Racing,Chevrolet,303,42
3,3,4,Kevin Harvick,Stewart-Haas Racing,Chevrolet,303,43
4,2,1,Jamie McMurray,Chip Ganassi Racing,Chevrolet,303,40
5,6,48,Jimmie Johnson,Hendrick Motorsports,Chevrolet,303,39
6,21,43,Aric Almirola,Richard Petty Motorsports,Ford,303,38
7,1,2,Brad Keselowski,Team Penske,Ford,303,38
8,5,18,Kyle Busch,Joe Gibbs Racing,Toyota,303,36
9,11,88,Dale Earnhardt Jr.,Hendrick Motorsports,Chevrolet,303,35
10,12,55,Brian Vickers,Michael Waltrip Racing,Toyota,303,35
11,22,3,Austin Dillon,Richard Childress Racing,Chevrolet,303,33
12,32,78,Martin Truex Jr.,Furniture Row Racing,Chevrolet,303,32
13,27,47,A. J. Allmendinger,JTG Daugherty Racing,Chevrolet,303,31
14,14,15,Clint Bowyer,Michael Waltrip Racing,Toyota,303,30
15,23,27,Paul Menard,Richard Childress Racing,Chevrolet,303,29
16,26,16,Greg Biffle,Roush Fenway Racing,Ford,303,28
17,8,99,Carl Edwards,Roush Fenway Racing,Ford,303,27
18,9,31,Ryan Newman,Richard Childress Racing,Chevrolet,303,26
19,18,10,Danica Patrick,Stewart-Haas Racing,Chevrolet,303,25
20,24,51,Justin Allgaier,HScott Motorsports,Chevrolet,303,24
21,16,20,Matt Kenseth,Joe Gibbs Racing,Toyota,303,23
22,25,13,Casey Mears,Germain Racing,Chevrolet,303,22
23,17,5,Kasey Kahne,Hendrick Motorsports,Chevrolet,303,21
24,20,9,Marcos Ambrose,Richard Petty Motorsports,Ford,303,20
25,30,40,Landon Cassill,Hillman-Circle Sport LLC,Chevrolet,303,0
26,13,24,Jeff Gordon,Hendrick Motorsports,Chevrolet,303,18
27,34,38,David Gilliland,Front Row Motorsports,Ford,301,18
28,35,23,Alex Bowman,BK Racing,Toyota,301,16
29,38,7,Michael Annett,Tommy Baldwin Racing,Chevrolet,301,15
30,28,14,Tony Stewart,Stewart-Haas Racing,Chevrolet,301,14
31,37,36,Reed Sorenson,Tommy Baldwin Racing,Chevrolet,300,13
32,40,83,Travis Kvapil,BK Racing,Toyota,300,12
33,39,98,Josh Wise,Phil Parsons Racing,Chevrolet,297,11
34,42,66,Mike Wallace,Identity Ventures Racing,Toyota,296,0
35,43,32,Timmy Hill,Go FAS Racing,Ford,295,9
36,15,41,Kurt Busch,Stewart-Haas Racing,Chevrolet,268,8
37,4,11,Denny Hamlin,Joe Gibbs Racing,Toyota,265,8
38,31,26,Cole Whitt,BK Racing,Toyota,264,6
39,19,17,Ricky Stenhouse Jr.,Roush Fenway Racing,Ford,263,5
40,36,33,David Stremme,Hillman-Circle Sport LLC,Chevrolet,228,4
41,41,77,Corey Lajoie,Randy Humphrey Racing,Ford,201,3
42,29,34,David Ragan,Front Row Motorsports,Ford,177,2
43,33,93,Clay Rogers,BK Racing,Toyota,45,1
