Player,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
B. J. Armstrong,6,6,41.8,0.508,0.526,1.0,1.8,5.0,0.8,0.2,13.5
Bill Cartwright,6,6,21.3,0.4,0.0,0.5,3.2,1.7,0.5,0.2,4.3
Horace Grant,6,6,38.8,0.528,0.0,0.579,10.3,2.3,1.5,1.5,11.2
Michael Jordan,6,6,45.7,0.508,0.4,0.694,8.5,6.3,1.7,0.7,41.0
Stacey King,6,0,8.2,0.273,0.0,0.875,1.3,0.5,0.3,0.2,2.2
Rodney McCray,1,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John Paxson,6,0,16.0,0.619,0.643,0.0,1.5,0.8,0.5,0.2,5.8
Will Perdue,1,0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Scottie Pippen,6,6,44.3,0.439,0.0,0.543,9.2,7.7,2.0,1.0,21.2
Trent Tucker,6,0,6.8,0.7,0.6,0.0,0.3,0.7,0.2,0.0,2.8
Darrell Walker,3,0,1.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Scott Williams,6,0,26.5,0.406,0.0,0.286,6.3,1.7,0.5,1.5,4.7
