Player,GP,GS,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOV,PPG
Louie Vigil,14,12.0,26.7,78,199,39.2,7,47,14.9,45,70,64.3,4.9,2.9,0.8,0.5,4.4,14.9
Jon Sheriff,14,12.0,22.5,57,124,46.0,2,3,66.7,8,13,61.5,3.5,2.6,1.7,0.0,2.1,8.9
Jeepy Faundo,13,3.0,19.7,25,64,39.1,0,0,0.0,22,42,52.4,8.2,0.4,0.3,0.5,1.2,8.1
Marvin Lee,14,3.0,18.9,39,125,31.2,14,59,23.7,18,20,90.0,2.6,1.7,0.5,0.1,2.1,7.9
Renzo Subido,14,2.0,16.3,29,93,31.2,8,38,21.1,28,41,68.3,1.6,1.4,0.6,0.0,2.4,6.7
Regie Boy Basibas,12,3.0,13.6,23,72,31.9,1,14,7.1,16,26,61.5,4.2,0.9,0.2,0.2,1.9,5.3
Kent Lao,14,8.0,20.2,21,83,25.3,8,37,21.6,22,32,68.8,3.2,0.2,0.2,0.1,1.7,5.1
Mario Bonleon,3,0.0,8.3,6,15,40.0,2,4,50.0,0,0,0.0,0.7,0.3,0.0,0.0,1.0,4.7
Joco Macasaet,14,3.0,12.2,18,42,42.9,0,0,0.0,10,15,66.7,3.1,0.2,0.1,0.2,0.9,3.3
Zach Huang,14,7.0,9.9,11,28,39.3,0,1,0.0,15,26,57.7,2.2,0.6,0.1,0.2,1.3,2.6
William Afoakwah,14,11.0,19.9,12,41,29.3,0,0,0.0,9,17,52.9,8.8,0.3,0.3,0.9,1.8,2.4
Oli de Guzman,14,1.0,6.6,10,30,33.4,4,13,30.8,5,6,83.3,1.0,0.4,0.0,0.0,0.9,2.1
Justin Arana,8,1.0,7.1,4,13,30.8,0,0,0.0,4,8,50.0,1.3,0.3,0.1,0.0,1.3,1.5
Enric Caunan,8,1.0,6.4,4,10,40.0,0,0,0.0,2,2,100.0,1.5,0.1,0.0,0.1,0.6,1.3
Teshi Tateishi,2,0.0,6.7,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.5,0.0,1.0,0.5,0.0
Jason Strait,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,14,,40.0,337,940,35.9,46,216,21.3,204,318,64.2,45.2,11.6,4.6,2.6,23.3,66.1
Opponents,14,,40.0,395,997,39.6,79,302,26.2,223,324,68.8,46.8,16.5,6.5,5.5,19.5,72.4
