Player,GP,GS,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOV,PPG
Steve Akomo,12,10.0,27.3,52,104,50.0,0,4,0.0,33,69,47.8,13.2,1.7,0.9,2.5,3.8,11.4
Marvin Lee,12,6.0,26.0,50,118,42.4,17,51,33.3,19,23,82.6,3.3,2.9,1.3,0.1,4.4,11.3
Jordan Sta. Ana,13,11.0,25.1,60,129,46.5,0,1,0.0,24,57,42.1,2.4,4.3,0.8,0.0,3.6,11.1
Jeepy Faundo,13,3.0,19.7,41,97,42.3,0,1,0.0,23,36,63.9,8.2,0.4,0.3,0.5,1.2,8.1
Regie Boy Basibas,11,9.0,15.6,31,73,42.5,2,10,20.0,17,25,68.0,3.7,0.9,0.5,0.2,2.1,7.4
Oli de Guzman,12,6.0,17.6,29,91,31.9,5,28,17.9,3,6,50.0,2.4,2.1,0.1,0.0,2.0,5.5
Enric Caunan,13,6.0,13.0,29,50,58.0,0,0,0.0,1,6,16.7,4.0,0.6,0.1,0.6,1.1,4.5
Justin Arana,6,2.0,8.6,7,18,38.9,0,0,0.0,8,14,57.1,3.5,0.3,0.2,0.2,0.3,3.7
Carlo Escalambre,12,2.0,9.5,17,56,30.4,7,32,21.9,2,7,28.6,1.1,0.4,0.2,0.1,0.8,3.6
Zach Huang,11,3.0,9.3,13,37,35.1,0,0,0.0,8,15,53.3,1.9,0.2,0.5,0.0,1.5,3.1
Jorem Soriano,12,2.0,9.6,8,23,34.8,2,5,40.0,13,22,59.1,1.9,0.6,0.1,0.2,1.1,2.6
Christian Garcia,11,0.0,9.9,11,33,33.3,2,8,25.0,5,7,71.4,3.3,1.4,0.2,0.2,1.9,2.6
Joco Macasaet,13,4.0,12.3,12,36,33.3,0,3,0.0,6,8,75.0,2.8,0.8,0.0,0.5,0.5,2.3
MR Romero,12,2.0,9.6,8,18,44.4,0,0,0.0,2,3,66.7,1.3,0.3,0.1,0.2,1.0,1.5
Onzo Lorenzana,5,2.0,3.9,1,4,25.0,1,4,25.0,2,2,100.0,1.2,0.2,0.0,0.0,1.2,1.0
Ben Kwawukumey,11,1.0,4.9,5,14,35.7,0,0,0.0,0,0,0.0,0.7,0.1,0.2,0.0,1.1,0.9
Total,14,,40.0,374,901,41.5,36,148,24.3,166,300,55.3,45.9,14.7,4.4,4.4,23.4,67.9
Opponents,14,,40.0,415,982,42.3,101,306,33.0,188,270,69.6,40.4,19.5,9.4,4.4,15.5,79.9
